time,tps,users,response,errors,cpu,memory
1713175027000000000,372,1,3.04,0.0,0.001864969,32309248
1713175028000000000,395,1,2.75,0.0,0.001864969,32309248
1713175029000000000,441,1,2.25,0.0,0.001864969,32309248
1713175030000000000,453,1,2.23,0.0,0.001864969,32309248
1713175031000000000,467,1,2.14,0.0,0.001864969,32309248
1713175032000000000,455,1,2.37,0.0,0.001864969,32309248
1713175033000000000,451,1,2.25,0.0,0.001864969,32309248
1713175034000000000,457,1,2.53,0.0,0.001864969,32309248
1713175035000000000,475,1,2.27,0.0,0.00192296,32309248
1713175036000000000,518,1,1.94,0.0,0.00192296,32309248
1713175037000000000,448,1,2.28,0.0,0.00192296,32309248
1713175038000000000,453,1,2.27,0.0,0.00192296,32309248
1713175039000000000,448,1,2.29,0.0,0.00192296,32309248
1713175040000000000,449,1,2.32,0.0,0.00192296,32309248
1713175041000000000,412,1,3.14,0.0,0.00192296,32309248
1713175042000000000,277,1,4.01,0.0,0.00192296,32309248
1713175043000000000,285,1,3.72,0.0,0.00192296,32309248
1713175044000000000,281,1,3.88,0.0,0.00192296,32309248
1713175045000000000,359,1,3.52,0.0,0.00192296,32309248
1713175046000000000,420,1,2.49,0.0,0.00192296,32309248
1713175047000000000,391,1,2.96,0.0,0.00192296,32309248
1713175048000000000,331,1,3.19,0.0,0.00192296,32309248
1713175049000000000,328,1,3.22,0.0,0.00192296,32309248
1713175050000000000,330,1,3.15,0.0,0.00192296,32309248
1713175051000000000,404,1,2.57,0.0,0.00192296,32309248
1713175052000000000,427,1,2.39,0.0,0.00192296,32309248
1713175053000000000,478,1,2.31,0.0,0.00192296,32309248
1713175054000000000,500,1,2.05,0.0,0.00192296,32309248
1713175055000000000,475,1,2.25,0.0,0.017104266,34611200
1713175056000000000,494,1,2.23,0.0,0.017104266,34611200
1713175057000000000,466,1,2.12,0.0,0.017104266,34611200
1713175058000000000,445,1,2.46,0.0,0.017104266,34611200
1713175059000000000,404,1,2.77,0.0,0.017104266,34611200
1713175060000000000,358,1,2.84,0.0,0.017104266,34611200
1713175061000000000,331,1,3.27,0.0,0.017104266,34611200
1713175062000000000,324,1,3.46,0.0,0.017104266,34611200
1713175063000000000,335,1,3.0,0.0,0.017104266,34611200
1713175064000000000,338,1,3.12,0.0,0.017104266,34611200
1713175065000000000,424,1,2.85,0.0,0.017104266,34611200
1713175066000000000,471,1,2.11,0.0,0.017104266,34611200
1713175067000000000,470,1,2.16,0.0,0.017104266,34611200
1713175068000000000,438,1,2.49,0.0,0.017104266,34611200
1713175069000000000,420,1,2.74,0.0,0.017104266,34611200
1713175070000000000,454,1,2.25,0.0,0.017104266,34611200
1713175071000000000,446,1,2.31,0.0,0.017104266,34611200
1713175072000000000,291,1,3.73,0.0,0.017104266,34611200
1713175073000000000,288,1,3.67,0.0,0.017104266,34611200
1713175074000000000,291,1,3.58,0.0,0.017104266,34611200
1713175075000000000,316,1,3.57,0.0,0.017104266,34611200
1713175076000000000,363,1,2.77,0.0,0.017104266,34611200
