time,tps,users,response,errors,cpu,memory
1713089801000000000,13.0,1.0,79.09404961538462,0.0,0.0185023464204856,404040864.0
1713089802000000000,14.0,1.0,69.1728787857143,0.0,0.0185023464204856,404040864.0
1713089803000000000,14.0,1.0,71.20576278571427,0.0,0.0185023464204856,404040864.0
1713089804000000000,14.0,1.0,72.11795607142857,0.0,0.0185023464204856,404040864.0
1713089805000000000,14.0,1.0,68.52962664285714,0.0,0.0185023464204856,404040864.0
1713089806000000000,16.0,1.0,65.98833937500001,0.0,0.0185023464204856,404040864.0
1713089807000000000,14.0,1.0,67.61302621428572,0.0,0.0185023464204856,404040864.0
1713089808000000000,15.0,1.0,67.23691459999999,0.0,0.0185023464204856,404040864.0
1713089809000000000,15.0,1.0,68.607974,0.0,0.0185023464204856,404040864.0
1713089810000000000,14.0,1.0,71.06399264285713,0.0,0.0185023464204856,404040864.0
1713089811000000000,13.0,1.0,73.50818161538461,0.0,0.0185023464204856,404040864.0
1713089812000000000,15.0,1.0,68.46656306666665,0.0,0.5005727307504746,388147084.0
1713089813000000000,14.0,1.0,73.20695378571428,0.0,0.5005727307504746,388147084.0
1713089814000000000,14.0,1.0,69.72398964285713,0.0,0.5005727307504746,388147084.0
1713089815000000000,14.0,1.0,70.94904728571429,0.0,0.5005727307504746,388147084.0
1713089816000000000,15.0,1.0,65.10919186666668,0.0,0.5005727307504746,388147084.0
1713089817000000000,15.0,1.0,66.61793893333333,0.0,0.5005727307504746,388147084.0
1713089818000000000,15.0,1.0,68.86580546666667,0.0,0.5005727307504746,388147084.0
1713089819000000000,14.0,1.0,66.28423528571427,0.0,0.5005727307504746,388147084.0
1713089820000000000,12.0,1.0,76.58947483333333,0.0,0.5005727307504746,388147084.0
1713089821000000000,9.0,1.0,122.15649977777778,0.0,0.5005727307504746,388147084.0
1713089822000000000,13.0,1.0,76.82304123076923,0.0,0.5005727307504746,388147084.0
1713089823000000000,14.0,1.0,75.01690185714287,0.0,0.5005727307504746,388147084.0
1713089824000000000,13.0,1.0,69.77695638461537,0.0,0.5005727307504746,388147084.0
1713089825000000000,13.0,1.0,69.931869,0.0,0.5005727307504746,388147084.0
1713089826000000000,13.0,1.0,84.40798715384616,0.0,0.5005727307504746,388147084.0
1713089827000000000,14.0,1.0,76.69501871428572,0.0,0.939678588296345,392911184.0
1713089828000000000,14.0,1.0,69.03332642857143,0.0,0.939678588296345,392911184.0
1713089829000000000,14.0,1.0,70.55362428571428,0.0,0.939678588296345,392911184.0
1713089830000000000,15.0,1.0,65.8805536,0.0,0.939678588296345,392911184.0
1713089831000000000,15.0,1.0,67.97731966666667,0.0,0.939678588296345,392911184.0
1713089832000000000,14.0,1.0,72.20402835714286,0.0,0.939678588296345,392911184.0
1713089833000000000,14.0,1.0,70.22168685714286,0.0,0.939678588296345,392911184.0
1713089834000000000,14.0,1.0,68.08696142857141,0.0,0.939678588296345,392911184.0
1713089835000000000,16.0,1.0,65.385347125,0.0,0.939678588296345,392911184.0
1713089836000000000,13.0,1.0,72.21358207692307,0.0,0.939678588296345,392911184.0
1713089837000000000,15.0,1.0,68.88221186666667,0.0,0.939678588296345,392911184.0
1713089838000000000,15.0,1.0,67.03068773333334,0.0,0.939678588296345,392911184.0
1713089839000000000,14.0,1.0,69.41737014285715,0.0,0.939678588296345,392911184.0
1713089840000000000,14.0,1.0,70.43483907142856,0.0,0.939678588296345,392911184.0
1713089841000000000,14.0,1.0,72.20148307142857,0.0,0.939678588296345,392911184.0
1713089842000000000,13.0,1.0,72.28640892307692,0.0,0.9745727114447381,370724435.0
1713089843000000000,14.0,1.0,73.75224192857142,0.0,0.9745727114447381,370724435.0
1713089844000000000,14.0,1.0,70.76527385714284,0.0,0.9745727114447381,370724435.0
1713089845000000000,14.0,1.0,75.13827692857144,0.0,0.9745727114447381,370724435.0
1713089846000000000,14.0,1.0,72.43022628571428,0.0,0.9745727114447381,370724435.0
1713089847000000000,14.0,1.0,68.55225250000002,0.0,0.9745727114447381,370724435.0
1713089848000000000,15.0,1.0,67.7961622,0.0,0.9745727114447381,370724435.0
1713089849000000000,14.0,1.0,69.15127778571429,0.0,0.9745727114447381,370724435.0
1713089850000000000,14.0,1.0,71.39147207142858,0.0,0.9745727114447381,370724435.0
1713089851000000000,15.0,1.0,69.04810586666667,0.0,0.9745727114447381,370724435.0
1713089852000000000,14.0,1.0,71.42037721428571,0.0,0.9745727114447381,370724435.0
1713089853000000000,13.0,1.0,70.84241707692307,0.0,0.9745727114447381,370724435.0
1713089854000000000,14.0,1.0,73.874957,0.0,0.9745727114447381,370724435.0
1713089855000000000,12.0,1.0,82.03061883333335,0.0,0.9745727114447381,370724435.0
1713089856000000000,15.0,1.0,69.23015046666667,0.0,0.9745727114447381,370724435.0
1713089857000000000,15.0,1.0,67.21969486666666,0.0,0.9926995855865816,367323812.0
1713089858000000000,14.0,1.0,67.54745007142857,0.0,0.9926995855865816,367323812.0
1713089859000000000,15.0,1.0,68.80883433333334,0.0,0.9926995855865816,367323812.0
1713089860000000000,15.0,1.0,66.24611033333333,0.0,0.9926995855865816,367323812.0
1713089861000000000,14.0,1.0,71.40631471428573,0.0,0.9926995855865816,367323812.0
1713089862000000000,13.0,1.0,74.15551146153845,0.0,0.9926995855865816,367323812.0
1713089863000000000,12.0,1.0,80.16289808333335,0.0,0.9926995855865816,367323812.0
