time,tps,users,response,errors,cpu,memory
1712874317000000000,298,2,6.26,0.0,0.0179152621580844,90958903
1712874318000000000,301,2,6.36,0.0,0.0179152621580844,90958903
1712874319000000000,300,2,6.27,0.0,0.0179152621580844,90958903
1712874320000000000,299,3,6.12,0.0,0.0179152621580844,90958903
1712874321000000000,301,3,6.57,0.0,0.0179152621580844,90958903
1712874322000000000,297,2,7.71,0.0,0.0179152621580844,90958903
1712874323000000000,301,2,6.68,0.0,0.0179152621580844,90958903
1712874324000000000,299,2,6.53,0.0,0.0179152621580844,90958903
1712874325000000000,300,2,6.29,0.0,0.2700139697247585,90958903
1712874326000000000,299,3,6.29,0.0,0.2700139697247585,90958903
1712874327000000000,300,3,6.16,0.0,0.2700139697247585,90958903
1712874328000000000,300,2,6.48,0.0,0.2700139697247585,90958903
1712874329000000000,300,2,6.31,0.0,0.2700139697247585,90958903
1712874330000000000,299,2,6.46,0.0,0.2700139697247585,90958903
1712874331000000000,301,2,6.37,0.0,0.2700139697247585,90958903
1712874332000000000,299,1,6.32,0.0,0.2700139697247585,90958903
1712874333000000000,299,2,6.39,0.0,0.2700139697247585,90958903
1712874334000000000,298,3,6.56,0.0,0.2700139697247585,90958903
1712874335000000000,301,2,6.52,0.0,0.2700139697247585,90958903
1712874336000000000,300,2,6.54,0.0,0.2700139697247585,90958903
1712874337000000000,300,4,6.37,0.0,0.2700139697247585,90958903
1712874338000000000,300,3,6.53,0.0,0.2700139697247585,90958903
1712874339000000000,299,3,6.41,0.0,0.2700139697247585,90958903
1712874340000000000,301,3,6.44,0.0,0.2700139697247585,90958903
1712874341000000000,299,2,6.84,0.0,0.2700139697247585,90958903
1712874342000000000,299,2,6.26,0.0,0.2700139697247585,90958903
1712874343000000000,299,2,6.21,0.0,0.2700139697247585,90958903
1712874344000000000,300,2,6.02,0.0,0.2700139697247585,90958903
1712874345000000000,300,1,6.22,0.0,0.7351348305637915,90958903
1712874346000000000,300,1,6.32,0.0,0.7351348305637915,90958903
1712874347000000000,299,2,6.31,0.0,0.7351348305637915,90958903
1712874348000000000,300,2,6.64,0.0,0.7351348305637915,90958903
1712874349000000000,299,2,5.94,0.0,0.7351348305637915,90958903
1712874350000000000,300,3,5.94,0.0,0.7351348305637915,90958903
1712874351000000000,300,2,5.95,0.0,0.7351348305637915,90958903
1712874352000000000,300,3,6.39,0.0,0.7351348305637915,90958903
1712874353000000000,299,3,5.91,0.0,0.7351348305637915,90958903
1712874354000000000,300,2,5.99,0.0,0.7351348305637915,90958903
1712874355000000000,299,1,5.99,0.0,0.7316194706135855,90958903
1712874356000000000,298,2,5.95,0.0,0.7316194706135855,90958903
1712874357000000000,301,2,5.83,0.0,0.7316194706135855,90958903
1712874358000000000,300,1,5.97,0.0,0.7316194706135855,90958903
1712874359000000000,299,1,6.35,0.0,0.7316194706135855,90958903
1712874360000000000,299,2,6.76,0.0,0.7316194706135855,90958903
1712874361000000000,296,2,6.48,0.0,0.7316194706135855,90958903
1712874362000000000,300,6,6.8,0.0,0.7316194706135855,90958903
1712874363000000000,302,3,6.25,0.0,0.7316194706135855,90958903
1712874364000000000,299,2,6.08,0.0,0.7316194706135855,90958903
1712874365000000000,301,1,5.92,0.0,0.7316194706135855,90958903
1712874366000000000,299,1,6.29,0.0,0.7316194706135855,90958903
1712874367000000000,299,2,6.34,0.0,0.7316194706135855,90958903
1712874368000000000,300,2,6.41,0.0,0.7316194706135855,90958903
1712874369000000000,300,1,6.43,0.0,0.7316194706135855,90958903
1712874370000000000,300,2,6.56,0.0,0.7316194706135855,90958903
1712874371000000000,299,2,6.39,0.0,0.7316194706135855,90958903
1712874372000000000,300,2,6.0,0.0,0.7316194706135855,90958903
1712874373000000000,299,2,6.37,0.0,0.7316194706135855,90958903
1712874374000000000,299,1,6.25,0.0,0.7316194706135855,90958903
1712874375000000000,301,2,6.51,0.0,0.7113610521833721,90958903
1712874376000000000,299,2,6.67,0.0,0.7113610521833721,90958903
1712874377000000000,299,2,6.34,0.0,0.7113610521833721,90958903
1712874378000000000,300,2,6.51,0.0,0.7113610521833721,90958903
1712874379000000000,299,3,6.24,0.0,0.7113610521833721,90958903
1712874380000000000,300,1,6.38,0.0,0.7113610521833721,90958903
1712874381000000000,300,1,5.94,0.0,0.7113610521833721,90958903
1712874382000000000,299,2,5.98,0.0,0.7113610521833721,90958903
1712874383000000000,298,3,6.19,0.0,0.7113610521833721,90958903
1712874384000000000,301,3,6.23,0.0,0.7113610521833721,90958903
1712874385000000000,299,2,5.95,0.0,0.7336671591526944,90958903
1712874386000000000,300,2,6.38,0.0,0.7336671591526944,90958903
1712874387000000000,300,2,6.01,0.0,0.7336671591526944,90958903
1712874388000000000,298,1,6.51,0.0,0.7336671591526944,90958903
1712874389000000000,301,2,6.5,0.0,0.7336671591526944,90958903
1712874390000000000,299,1,6.08,0.0,0.7336671591526944,90958903
1712874391000000000,299,2,6.4,0.0,0.7336671591526944,90958903
1712874392000000000,300,1,6.94,0.0,0.7336671591526944,90958903
1712874393000000000,299,3,6.4,0.0,0.7336671591526944,90958903
1712874394000000000,298,2,6.0,0.0,0.7336671591526944,90958903
1712874395000000000,301,2,5.95,0.0,0.7336671591526944,90958903
1712874396000000000,300,2,5.88,0.0,0.7336671591526944,90958903
1712874397000000000,299,2,6.12,0.0,0.7336671591526944,90958903
1712874398000000000,300,3,6.28,0.0,0.7336671591526944,90958903
1712874399000000000,299,3,6.29,0.0,0.7336671591526944,90958903
1712874400000000000,300,1,6.16,0.0,0.7336671591526944,90958903
1712874401000000000,300,2,6.52,0.0,0.7336671591526944,90958903
1712874402000000000,298,2,6.03,0.0,0.7336671591526944,90958903
1712874403000000000,300,2,6.19,0.0,0.7336671591526944,90958903
1712874404000000000,299,4,6.56,0.0,0.7336671591526944,90958903
1712874405000000000,300,1,6.51,0.0,0.7357179428660571,90962762
1712874406000000000,300,2,6.05,0.0,0.7357179428660571,90962762
1712874407000000000,299,3,6.07,0.0,0.7357179428660571,90962762
1712874408000000000,300,1,6.03,0.0,0.7357179428660571,90962762
1712874409000000000,299,2,6.24,0.0,0.7357179428660571,90962762
1712874410000000000,299,2,5.94,0.0,0.7357179428660571,90962762
1712874411000000000,300,2,6.19,0.0,0.7357179428660571,90962762
1712874412000000000,300,1,5.94,0.0,0.7357179428660571,90962762
1712874413000000000,300,2,5.98,0.0,0.7357179428660571,90962762
1712874414000000000,298,4,6.26,0.0,0.7357179428660571,90962762
1712874415000000000,301,3,6.12,0.0,0.7307589323774845,90962762
1712874416000000000,299,2,6.38,0.0,0.7307589323774845,90962762
1712874417000000000,299,2,6.24,0.0,0.7307589323774845,90962762
1712874418000000000,298,3,5.86,0.0,0.7307589323774845,90962762
1712874419000000000,301,2,6.16,0.0,0.7307589323774845,90962762
1712874420000000000,298,3,6.14,0.0,0.7307589323774845,90962762
1712874421000000000,297,6,6.24,0.0,0.7307589323774845,90962762
1712874422000000000,303,4,6.36,0.0,0.7307589323774845,90962762
1712874423000000000,300,2,6.23,0.0,0.7307589323774845,90962762
1712874424000000000,298,4,6.24,0.0,0.7307589323774845,90962762
1712874425000000000,301,2,6.19,0.0,0.7307589323774845,90962762
1712874426000000000,300,1,6.23,0.0,0.7307589323774845,90962762
1712874427000000000,299,1,6.24,0.0,0.7307589323774845,90962762
